fecha,regular,superior,diesel,glp
2023-04-01 00:00:00,922032.39,572201.36,1417182.73,647666.3
2023-05-01 00:00:00,947633.29,668478.73,1428099.62,713348.99
2023-06-01 00:00:00,831466.44,639685.8,1278824.18,285817.78
2023-07-01 00:00:00,830098.86,562498.09,1113086.84,1077122.75
2023-08-01 00:00:00,801621.75,669240.21,1075379.76,274973.63
2023-09-01 00:00:00,762592.3,586145.3,1242719.42,591711.91
2023-10-01 00:00:00,928439.18,652149.45,834686.02,673581.15
2023-11-01 00:00:00,839290.02,682060.84,1348739.16,578797.45
2023-12-01 00:00:00,763754.27,571924.92,1509634.28,692182.03
2024-01-01 00:00:00,914133.32,712333.33,1409097.15,701570.8
2024-02-01 00:00:00,740662.25,650360.11,1236861.75,916541.7
2024-03-01 00:00:00,838270.93,620077.74,1477038.0,675157.48
2024-04-01 00:00:00,886132.77,687017.96,1294706.12,473940.66
2024-05-01 00:00:00,939656.18,696970.3,1470870.09,684864.46
2024-06-01 00:00:00,753130.22,597897.96,1324033.53,686142.95
2024-07-01 00:00:00,902574.53,678626.35,1240715.47,643420.79
2024-08-01 00:00:00,827107.06,679009.42,1225913.63,977405.47
2024-09-01 00:00:00,1141365.94,822168.56,1165542.44,736729.82
2024-10-01 00:00:00,790347.12,782139.65,1393578.36,726896.58
2024-11-01 00:00:00,832255.74,690640.92,1298981.28,495109.48
2024-12-01 00:00:00,879947.67,754391.09,1427328.24,1039704.48
2025-01-01 00:00:00,788005.35,645188.6,1326108.68,512898.41
2025-02-01 00:00:00,857375.76,686641.5,1102736.51,858335.87
2025-03-01 00:00:00,800182.17,796513.62,1617427.16,727180.68
2025-04-01 00:00:00,898147.98,643476.9,1226170.62,732805.98
2025-05-01 00:00:00,785675.37,747443.53,1520640.21,604722.9
