mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,zona_ocu,mayor_menor,tipo_veh,color_veh,modelo_veh,marca_veh,anio_ocu_file,tipo_eve,edad_grupo,fall_les,sexo_vic,int_o_noint,num_corre,anio_ocu_dataset,anio_ocu,edad_vic
enero,viernes,18,4,15,1501,99,mayor,automovil,ignorado,6,jmc,2013,vuelco,50-54,lesionado,ignorado,ignorado,79,,2013,-1
enero,viernes,14,3,2,205,99,menor,pick up,corinto,2,jmc,2013,caida,menor de 15,fallecimiento,ignorado,ignorado,80,,2013,-1
enero,viernes,17,3,7,701,99,mayor,camioneta,anaranjado,6,kinlon,2013,vuelco,45-49,lesionado,ignorado,ignorado,81,,2013,-1
enero,viernes,17,3,7,701,99,menor,camioneta,anaranjado,6,kinlon,2013,vuelco,menor de 15,fallecimiento,ignorado,ignorado,82,,2013,-1
enero,viernes,17,3,7,701,99,mayor,camioneta,anaranjado,6,kinlon,2013,vuelco,40-44,fallecimiento,ignorado,ignorado,83,,2013,-1
enero,sabado,12,3,20,2001,99,menor,motocicleta,corinto,6,jmc,2013,colision,15-19,lesionado,ignorado,ignorado,84,,2013,-1
enero,sabado,12,3,20,2001,99,mayor,motocicleta,corinto,6,jmc,2013,colision,30-34,lesionado,ignorado,ignorado,85,,2013,-1
enero,sabado,8,2,10,1001,99,mayor,motocicleta,azul,5,tvs apache,2013,colision,30-34,lesionado,ignorado,ignorado,86,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,87,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,88,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,89,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,90,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,91,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,92,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,30-34,lesionado,ignorado,ignorado,93,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,30-34,lesionado,ignorado,ignorado,94,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,35-39,lesionado,ignorado,ignorado,95,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,96,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,97,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,98,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,99,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,100,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,101,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,102,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,30-34,lesionado,ignorado,ignorado,103,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,104,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,105,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,106,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,107,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,108,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,109,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,110,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,111,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,25-29,lesionado,ignorado,ignorado,112,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,35-39,lesionado,ignorado,ignorado,113,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,114,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,115,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,15-19,lesionado,ignorado,ignorado,116,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,117,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,118,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,119,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,120,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,45-49,lesionado,ignorado,ignorado,121,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,55 y mas,lesionado,ignorado,ignorado,122,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,25-29,lesionado,ignorado,ignorado,123,,2013,-1
enero,sabado,7,2,9,919,99,mayor,bus extraurbano,ignorado,6,jmc,2013,caida,20-24,lesionado,ignorado,ignorado,124,,2013,-1
enero,sabado,7,2,9,919,99,menor,bus extraurbano,ignorado,6,jmc,2013,caida,menor de 15,lesionado,ignorado,ignorado,125,,2013,-1
